Date,Location,Latitude,Longitude,Operator,Route,Type,Aboard,Fatalities,Ground
09/17/1908,"Fort Myer, Virginia",38.883541,-77.0810889,Military - U.S. Army,Demonstration,Wright Flyer III,2,1,0
07-12-1912,"AtlantiCity, New Jersey",39.3642834,-74.4229266,Military - U.S. Navy,Test flight,Dirigible,5,5,0
08-06-1913,"Victoria, British Columbia, Canada",48.4284207,-123.3656444,Private,,Curtiss seaplane,1,1,0
09-09-1913,Over the North Sea,56.511018,3.515625,Military - German Navy,,Zeppelin L-1 (airship),20,14,0
10/17/1913,"Near Johannisthal, Germany",52.4367582,13.5039931,Military - German Navy,,Zeppelin L-2 (airship),30,30,0
03-05-1915,"Tienen, Belgium",50.8096628,4.9371045,Military - German Navy,,Zeppelin L-8 (airship),41,21,0
09-03-1915,"Off Cuxhaven, Germany",53.859336,8.6879057,Military - German Navy,,Zeppelin L-10 (airship),19,19,0
07/28/1916,"Near Jambol, Bulgeria",42.4841999,26.5035023,Military - German Army,,Schutte-Lanz S-L-10 (airship),20,20,0
09/24/1916,"Billericay, England",51.627903,0.418397,Military - German Navy,,Zeppelin L-32 (airship),22,22,0
10-01-1916,"Potters Bar, England",51.696636,-0.175948,Military - German Navy,,Zeppelin L-31 (airship),19,19,0
11/21/1916,"Mainz, Germany",49.9928617,8.2472526,Military - German Army,,Super Zeppelin (airship),28,27,0
11/28/1916,"Off West Hartlepool, England",54.691745,-1.212926,Military - German Navy,,Zeppelin L-34 (airship),20,20,0
03-04-1917,"Near Gent, Belgium",51.0500182,3.7303351,Military - German Army,,Airship,20,20,0
03/30/1917,Off Northern Germany,51.165691,10.451526,Military - German Navy,,Schutte-Lanz S-L-9 (airship),23,23,0
05/14/1917,"Near Texel Island, North Sea",56.511018,3.515625,Military - German Navy,,Zeppelin L-22 (airship),21,21,0
06/14/1917,"Off Vlieland Island, North Sea",53.2606424,4.9556956,Military - German Navy,,Zeppelin L-43 (airship),24,24,0
08/21/1917,Off western Denmark,43.9925706,-70.8706207,Military - German Navy,,Zeppelin L-23 (airship),18,18,0
10/20/1917,"Near Luneville, France",48.592237,6.492339,Military - German Navy,,Zeppelin L-44 (airship),18,18,0
04-07-1918,Over the Mediterranean,34.5531284,18.0480105,Military - German Navy,,Zeppelin L-59 (airship),23,23,0
05-10-1918,"Off Helgoland Island, Germany",54.1833116,7.8827444,Military - German Navy,,Zeppelin L-70 (airship),22,22,0
08-11-1918,"Ameland Island, North Sea",53.4500611,5.7906079,Military - German Navy,,Zeppelin L-53 (airship),19,19,0
12/16/1918,"Elizabeth, New Jersey",40.6639916,-74.2107006,US Aerial Mail Service,,De Havilland DH-4,1,1,0
05/25/1919,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,,De Havilland DH-4,1,1,0
07/19/1919,"Dix Run, Pennsylvania",40.9064,-77.9395179,US Aerial Mail Service,,De Havilland DH-4,1,1,0
10-02-1919,"Newcastle, England",54.978252,-1.61778,Aircraft Transport and Travel,,De Havilland DH-4,1,1,0
10/14/1919,"Cantonsville, Maryland",39.2720509,-76.7319161,US Aerial Mail Service,,Curtiss R-4LM,1,1,0
10/20/1919,English Channel,50.134664,-0.357056,Aircraft Transport and Travel,,De Havilland DH-4,,,
10/30/1919,"Long Valley, New Jersey",40.7859331,-74.7801645,US Aerial Mail Service,,De Havilland DH.4,1,1,0
03-10-1920,"New Paris, Indiana",41.5033572,-85.8307059,US Aerial Mail Service,,De Havilland DH-4,1,1,0
03/30/1920,"Newark, New Jersey",40.735657,-74.1723667,US Aerial Mail Service,,De Havilland DH-4,1,1,0
04-10-1920,"Newark, New Jersey",40.735657,-74.1723667,US Aerial Mail Service,,Curtiss R-4LM,2,1,0
04-11-1920,"Heller Field, New Jersey",40.9356001,-74.6611769,US Aerial Mail Service,,Curtiss JN-4H,2,1,0
05-12-1920,"Oskaloosa, Iowa",41.2916728,-92.6493595,US Aerial Mail Service,,De Havilland DH-4,2,1,0
06-06-1920,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,,De Havilland DH-4,1,1,0
08/16/1920,"Bedford, England",52.1386394,-0.4667782,By Air,,Armstrong-Whitworth F-K-8,1,1,0
08/16/1920,"College Park, Maryland",38.9896967,-76.93776,US Aerial Mail Service,,De Havilland DH-4,1,1,0
09-01-1920,"Morristown, New Jersey",40.7967667,-74.4815438,US Aerial Mail Service,,Junkers JL-6,2,2,0
09/15/1920,"Pemberville, Ohio",41.4108855,-83.46104,US Aerial Mail Service,,Junkers F-13,2,2,0
09/27/1920,"Hillersburg, Pennsylvania",40.5395289,-76.9608103,US Aerial Mail Service,,De Havilland DH-4,1,1,0
10-02-1920,"Off Port Vendres, France",42.518487,3.106592,Latecoere Airlines,,Salmson 2-A-2,2,2,0
10-05-1920,"Valencia, Spain",39.4699075,-0.3762881,Latecoere Airlines,,Breguet 14,2,2,0
10/15/1920,"Batavia, Illinois",41.8500284,-88.3125738,US Aerial Mail Service,,De Havilland DH-4,1,1,0
11-07-1920,"Tie Siding, Wyoming",41.0802621,-105.5074905,US Aerial Mail Service,,De Havilland DH-4,1,1,0
12/14/1920,"Cricklewood, England",51.5581887,-0.2163581,Handley Page Transport,,Handley Page HP-16,8,4,0
12/24/1920,"Barcelona, Spain",41.3873974,2.168568,Aeropostale,,Breguet 14,1,1,0
02-03-1921,"Mendotta, Minnisota",44.8871878,-93.1643869,US Aerial Mail Service,,De Havilland DH-4,1,1,0
02-09-1921,"La Crosse, Wisconsin",43.8137751,-91.2519017,US Aerial Mail Service,,Junkers F-13,3,3,0
02/15/1921,Off Gibraltar,36.140751,-5.353585,Aeropostale,,Breguet 14,2,2,0
02/22/1921,"Elko, Nevada",40.8324211,-115.7631232,US Aerial Mail Service,,De Havilland DH-4,1,1,0
04-06-1921,"Point Cook, Australia",-37.9002829,144.7535412,Military - Royal Australian Air Force,,,2,1,0
04/21/1921,"Mitchel Field, NY",40.7238895,-73.5984261,US Aerial Mail Service,,De Havilland DH-4,1,1,0
04/29/1921,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,,De Havilland DH-4,1,1,0
05/17/1921,"Rock Springs, Wyoming",41.5874644,-109.2029043,US Aerial Mail Service,,,1,1,0
07/16/1921,"San Francisco, California",37.7749295,-122.4194155,US Aerial Mail Service,,De Havilland DH-4,1,1,0
08/14/1921,"Toulouse, France",43.604652,1.444209,Aeropostale,,Breguet 14,2,2,0
08/24/1921,"River Humber, England",52.3555177,-1.1743197,Military - Royal Airship Works,,Royal Airship Works ZR-2 (airship),46,46,1
09-06-1921,"Paris, France",48.856614,2.3522219,Franco-Roumaine,Varsovie - Strasbourg - Paris,Potez IX,5,5,0
12-05-1921,"Near Murchinson River, Australia",-25.87480558,118.8421994,West Australian Airways,,Bristol 28 Tourer,3,3,0
01/14/1922,"Paris, France",48.856614,2.3522219,Handley Page Transport,,Handley Page O/10,5,5,5
02/21/1922,"Near Norfolk, Virginia",36.8507689,-76.2858726,Military - U.S. Army Air Service,,Dirigible Roma (airship),45,34,0
04-07-1922,"Grandvilliers, France",49.665342,1.939705,Daimler Airways / Grands Express Aeriens,,de Havilland DH-18 / Farman F-60 Goliath,7,7,0
04-08-1922,"Pao Ting Fou, China",38.8739599,115.46459,,,,17,17,0
04/13/1922,"Brooklands, England",50.999355,0.835155,Vickers,,Vickers Viking,3,3,0
10-01-1925,"Nittany Mt, Ohio",40.4172871,-82.907123,US Aerial Mail Service,,De Havilland DH-4,1,1,0
06-03-1922,"Off Folkestone, Kent, England",51.081397,1.169456,Cie des Messageries Aeriennes,,Bleriot Spad 27,3,3,0
07/26/1922,"Cadix, Spain",36.5210142,-6.2804565,Grands Express Aeriens,,Breguet 14,3,3,0
09-07-1922,"Indianapolis, Indiana",39.768403,-86.158068,US Aerial Mail Service,,De Havilland DH-4,1,1,0
10-02-1922,"Venice, Italy",45.4408474,12.3155151,,,de Havilland DH-9,4,4,0
10/25/1922,"Larache, Morocco",35.1744271,-6.1473964,Grands Express Aeriens,,Breguet 14,2,2,0
12-03-1922,"Fez, Morocco",34.0181246,-5.0078451,Grands Express Aeriens,,Breguet 14,1,1,0
01-10-1923,"Ajaccio, France",41.919229,8.738635,Amee de l'Air,,Lioré-et-Olivier H-13,4,3,0
01/17/1923,"Barcelona, Spain",41.3873974,2.168568,Grands Express Aeriens,,Breguet 14,1,1,0
01/18/1923,"Cheyenne, Wyoming",41.1399814,-104.8202462,US Aerial Mail Service,,De Havilland DH-4,1,1,0
02/26/1923,"Meadville, Pennsylvania",41.6414438,-80.1514484,US Aerial Mail Service,,De Havilland DH-4,1,1,0
05/14/1923,"Monsures, France",49.70958,2.17198,Grands Express Aeriens,,Farman F-60 Goliath,6,6,0
08/27/1923,"Bucharest, Romania",44.4267674,26.1025384,Campagnie France Roumaine,,Blériot Spad 46,2,2,0
09-07-1923,"Colton, Ohio",41.4645824,-83.9521687,US Aerial Mail Service,,De Havilland DH-4,1,1,0
09/14/1923,"Berks, England",51.4669939,-1.1853677,Daimler Airways,,de Havilland DH-34,6,6,0
11/18/1923,Russia,61.52401,105.318756,CCCP,,Junkers F-13,4,2,0
12-06-1923,"Castalia, Ohio",41.4000523,-82.8085204,US Aerial Mail Service,,De Havilland DH-4,1,1,0
12/23/1923,Over the Mediterranean Sea,34.5531284,18.0480105,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),52,52,0
12/24/1923,"Egbert, WY",41.1697041,-104.2568991,US Aerial Mail Service,,De Havilland DH-4,1,1,0
03-07-1924,"Grampian, Pennsylvania",40.9658931,-78.6130821,US Aerial Mail Service,,De Havilland DH-4,1,1,0
04/24/1924,Over the English Channel,50.134664,-0.357056,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3,3,0
06-08-1924,"Barranquilla, Colombia",11.0041072,-74.8069813,SCADTA,,Junkers F-13,3,3,0
08-01-1924,United States,37.09024,-95.712891,US Aerial Mail Service,,De Havilland DH-4,1,1,0
11-06-1924,"Cabrerolles, France",43.545815,3.125343,Grands Express Aeriens,,,1,1,0
12/21/1924,"Goshen, Indiana",41.5891606,-85.8345639,US Aerial Mail Service,,De Havilland DH-4,1,1,0
12/24/1924,"Purley, England",51.339228,-0.119711,Imperial Airways,,de Havilland DH-34B,8,8,0
03/22/1925,"Near Tiflies, Georgia, USSR",41.6938026,44.8015168,Zakavia,,Junkers F-13,5,5,0
04/25/1925,"Alicante, Spain",38.3459963,-0.4906855,Grands Express Aeriens,,Breguet 14,4,4,0
05/25/1925,"Alicante, Spain",38.3459963,-0.4906855,Lignes Aeriennes Latecoere,,Breguet 14,2,2,0
06/25/1925,"Landrécies, France",50.125434,3.691623,KLM Royal Dutch Airlines,,Fokker (KLM)  F.III,4,4,0
06/26/1925,"Alicante, Spain",38.3459963,-0.4906855,Grands Express Aeriens,,Lioré-et-Olivier H-13,2,2,0
07/20/1925,"Rosas, Spain",42.2605204,3.2080991,Lignes Aeriennes Latecoere,,Breguet 14,1,1,0
07/24/1925,"Budapest, Hungary",47.497912,19.040235,CIDNA,,Potez IX,1,1,0
09-03-1925,"Caldwell, Ohio",39.7478508,-81.5165127,Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),43,14,0
09-07-1925,"Toul, France",48.678296,5.890159,CIDNA,,,3,3,0
11/14/1925,"Off Boulogne-sur-Mer, France",50.725231,1.613334,Air Union,,Farman F-60 Goliath,2,2,0
02-12-1926,"Montpelier, Ohio",41.5844951,-84.6055076,US Aerial Mail Service,,Curtiss Carrier Pigeon,1,1,0
03-08-1926,"Staaken, Germany",52.5325033,13.1415974,Deutche Lufthansa,,Junkers F-13,1,1,0
05/31/1926,English Channel,50.134664,-0.357056,Air Union,,Breguet 14,1,1,0
07-03-1926,"Rossaugpt, Czechoslovakia",,,Compagnie Internationale de Navigation Aérienne,Paris - Prague,Caudron C-61,7,7,0
07-09-1926,"Wolvertem, Belgium",50.95088,4.30927,KLM Royal Dutch Airlines,,Fokker F-4,2,2,0
07/24/1926,"Juist, Germany",53.681385,7.008163,Deutsche Lufthansa,,Junkers F-13,4,4,0
08/18/1926,"Hurst, Kent, England",51.2622996,0.3285834,Air Union,,Bleriot 155,4,4,0
09/26/1926,"New York, New York",40.7127753,-74.0059728,,New York - Paris,Sikorsky S-25,5,2,0
10-08-1926,"Bueren, Germany",51.55092,8.5597678,Deutsche Lufthansa,,Fokker FG III,4,4,0
10/21/1926,English Channel,50.134664,-0.357056,Imperial Airways,,Handley Page W-10,12,0,0
11-11-1926,"Cape Bojador, Morocco",31.791702,-7.09262,Grands Express Aeriens,,Breguet 14,3,3,0
12/16/1926,"Medford, Oregon",42.3265152,-122.8755949,PacifiAir Transport,,Ryan M-1,1,1,0
01-12-1927,"Lille, France",50.62925,3.057256,KLM Royal Dutch Airlines,,Fokker F-VII,2,2,0
03/20/1927,"Rabat, Morocco",33.9715904,-6.8498129,Grands Express Aeriens,,Breguet 14,1,1,0
03/24/1927,"Tambo, Qld, Australia",-24.8831342,146.2534942,Qantas,,de Havilland DH-9C,3,3,0
04/15/1927,"King Hill, Idaho",43.0040661,-115.2039579,Varney Air Lines,,,1,1,0
04/22/1927,"Goshen, Indiana",41.5891606,-85.8345639,US Aerial Mail Service,,Douglas M-4,1,1,0
04/22/1927,"Floh, Germany",50.7562528,10.4819945,Deutsche Lufthansa,,Fokker FG III,2,2,0
05-02-1927,"Algiers, Algeria",36.753768,3.0587561,Air Union,,SPCA Meteore 63,3,1,0
07/27/1927,"Amoneburg, Germany",50.797725,8.9219942,Deutsche Lufthansa,,Junkers F-13,5,5,0
08/22/1927,"Sevenoaks, England",51.27241,0.190898,KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,11,1,0
09-03-1927,"Willington, Connecticut",41.8809434,-72.2600655,Colonial Air Transport,,Fokker Universal,1,1,0
09/17/1927,"Hadley, New Jersey",40.0583238,-74.4056612,Reynolds Airways,Sightseeing,Fokker F-VII,12,7,0
09/22/1927,"Saale, Germany",51.276096,11.68989446,Deutsche Lufthansa,,BFW M-18,4,2,0
09/23/1927,"Schleiz, Germany",50.5772446,11.8074105,Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,6,6,0
10-06-1927,"Thies, Mauritania",21.00789,-10.940835,Lignes Aeriennes Latecoere,,Breguet 14,2,2,0
10/30/1927,"New Brunswick, New Jersey",40.4862157,-74.4518188,Colonial Air Transport,,Fairchild FC-2,4,4,0
11/16/1927,"Strasburg, France",48.5734053,7.7521113,CIDNA,,Farman F-121 Jabiru,1,1,0
11/16/1927,Over the Gulf of Finland,59.9124514,26.2623373,Aero O-Y,,Junkers F-13,6,6,0
11/29/1927,"Corunna, Indiana",41.4372721,-85.1471934,National Air Transport,,Douglas M-4,1,1,0
12/26/1927,"Almeria, Spain",36.834047,-2.4637136,Aeropostale,,Breguet 14,2,2,0
12/28/1927,"Abuerio, Spain",40.463667,-3.74922,Aeropostale,,Breguet 14,1,1,0
12/31/1927,France,46.227638,2.213749,Latecoere Airlines,,Latécoère 23,4,4,0
01-08-1928,"Near Canajoharie, New York",42.9056288,-74.5718073,Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,3,3,0
01/16/1928,"Solis, Uruguay",-34.7918125,-55.3823985,Aeropostale,,Latecoere 25,2,2,0
01/22/1928,"Tarragona, Spain",41.1188827,1.2444909,Aeropostale,,Breguet 14,2,2,0
01/22/1928,France,46.227638,2.213749,Aeropostale,,Breguet 14,2,1,0
01/27/1928,"Almeria, Spain",36.834047,-2.4637136,Aeropostale,,Breguet 14,1,1,0
02/26/1928,"Marquette, Nebraska",41.0069471,-98.009662,Boeing Air Transport,,Boeing 40,2,1,0
03-03-1928,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,,,,10,10,0
03-11-1928,"Off Cape Griz Nez, France",50.8710257,1.5829231,Air Union,,Farman F-60 Goliath,2,2,0
04/17/1928,"Federal, Wyoming",41.2721268,-105.1148266,Boeing Air Transport,,Boeing 40,2,1,0
04/19/1928,"Minuesa, Spain",41.9101058,-2.7618028,Iberia Airlines,,Rohrbach Roland,9,9,0
05-07-1928,,,,Aeropostale,,Latecoere 26,1,1,0
05-12-1928,"Dearborn, Minnesota",46.729553,-94.6858998,Ford Air Freight Inc.,,Ford 4,2,2,0
05/26/1928,"Radevormwald, Germany",51.2015995,7.3590901,Deutsche Lufthansa,,Junkers F-13,5,3,0
06/14/1928,"Frankfurt, Germany",50.1109221,8.6821267,Deutsche Lufthansa,,AEGK,5,5,0
06/22/1928,"Lebo, Kansas",38.4166818,-95.8530441,National Air Transport,Chicago - Dallas,Douglas M-4,1,1,0
07-10-1928,Over the Gulf of Finland,59.9124514,26.2623373,Aero O-Y,,Junkers F-13,6,6,0
07/13/1928,"Purley, England",51.339228,-0.119711,Imperial Airways,Testing,Vickers 74 Vulcan,4,4,0
07/24/1928,"Waalhaven harbor, Netherlands",51.88753404,4.440981923,KLM Royal Dutch Airlines,,Fokker (KLM) F.III,1,1,0
08/25/1928,"Near Port Townsend, BC, Canada",53.7266683,-127.6476206,British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,7,7,0
09-02-1928,"Toul, France",48.678296,5.890159,CIDNA,,Bleriot Spad 56,3,3,0
09-04-1928,"Adelaide Hills, Australia",-34.9062557,138.8397403,Qantas,,de Havilland DH.50J,2,1,0
09-04-1928,"Pocatello, Idaho",42.8621042,-112.4506191,National Parks Airways,,Fokker Super Universal,7,7,0
09-06-1928,"Heroldbach, Germany",49.6908242,11.0048276,Deutsche Lufthansa,,Fokker FG III,3,3,0
10-04-1928,"Gerona, Spain",41.9794005,2.8214264,Aeropostale,,Breguet 14,3,3,0
10/18/1928,"Polk, Pennsylvania",41.3670014,-79.9292233,National Air Transport,,Douglas M-4,1,1,0
10/31/1928,"Valence, France",44.933393,4.89236,Air Union,,Bleriot Spad 56,2,1,0
11/15/1928,Off Gibraltar,36.140751,-5.353585,Aeropostale,,Latecoere 32,2,1,0
11/24/1928,"Edgerton, Ohio",41.4486619,-84.7480123,Universal Airlines,Cleveland - Chicago,Hamilton H-47,3,3,0
11/25/1928,"Bristolville, Ohio",41.3873741,-80.8691273,National Air Transport,,Douglas M-4,1,1,0
11/25/1928,"Edgerton, Ohio",41.4486619,-84.7480123,Continental Air Lines,Cleveland - Louisville,Travel Air 4000,3,3,0
12-01-1928,"Spur, Texas",33.4764767,-100.8556857,Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,5,5,0
12-03-1928,Brazil,-14.235004,-51.92528,Syndicato Condor,,Dornier Wal,14,14,0
12-04-1928,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,,,Junkers G24,6,6,0
12-11-1928,"Letzlingen, Germany",52.4465493,11.4862361,Deutsche Lufthansa,,Junkers G-31,4,3,0
12/20/1928,"Huron, Ohio",41.3950489,-82.5551733,National Air Transport,Cleveland - Chicago,Douglas M-4,1,1,0
12/23/1928,"Chattanooga, Tennessee",35.0457984,-85.3093995,Interstate Airlines,,Fairchild FC-2,4,4,0
12/31/1928,"Reims, France",49.258329,4.031696,CIDNA,,Blériot Spad 66,3,2,0
01-05-1929,"Stafford Springs, Connecticut",41.9542632,-72.3023022,Colonial Air Transport,,Fairchild FC-2,1,1,0
01/18/1929,"Cove, Oregon",45.2965256,-117.8079872,Varney Air Lines,,Stearman C-38,1,1,0
01/25/1929,"Near Corfu, Greece",39.6242621,19.9216777,Aeroespresso,,CMASA Wal,9,2,0
01/31/1929,"Morgantown, West Virginia",39.629526,-79.9558968,Skyline Transportation Company,,Travel Air 4000,1,1,0
01/31/1929,Off Morocco,31.791702,-7.09262,Aeropostale,,Latecoere 26,2,2,0
03/17/1929,"Newark, New Jersey",40.735657,-74.1723667,Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,15,14,0
03/30/1929,"Near Beaumont, California",33.9294606,-116.977248,New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,4,4,0
04/21/1929,"San Diego, California",32.715738,-117.1610838,Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,6,6,0
05/18/1929,Hungary,47.162494,19.503304,MALERT,,Fokker F-III,2,2,0
05/22/1929,Algiers,36.753768,3.0587561,Aeropostale,,Cams 53,5,4,0
06-10-1929,"Santiago de Cuba, Cuba",20.01693,-75.8301537,Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,5,2,0
06/14/1929,"Barcelona, Spain",41.3873974,2.168568,Aeropostale,,Breguet 14,2,1,0
06/17/1929,"Off Dungeness, England",50.919325,0.96528,Imperial Airways,,Handley Page W-10,13,7,0
06/24/1929,"St. Paul, Minnesota",44.9537029,-93.0899578,Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,8,1,0
06/29/1929,"Lake Constance, Switzerland",47.6363377,9.3892445,Aero Lloyd,,Domier Delphin III,5,5,0
06/29/1929,"Columbus, Ohio",39.9611755,-82.9987942,Continental Air Lines,,Travel Air 4000,1,1,0
08-11-1929,"Clovis, New Mexico",34.4047987,-103.2052272,Middle States Airlines,,Lockheed Vega,4,4,0
08/13/1929,"Perpignan, France",42.6886591,2.8948332,Aeropostale,,Breguet 14,1,1,0
08/24/1929,"Sochi, Russia",43.6028079,39.7341543,Ukvozduchput,,Kalinin K-4,1,1,0
08/24/1929,"Elm, Germany",48.4010822,9.9876076,Deutsche Lufthansa,,Fokker FG II,5,4,0
09-02-1929,"Needles, California",34.8480597,-114.6141315,Associated Aviators,,Lockheed Vega,2,1,0
09-03-1929,"Mt. Taylor, New Mexico",35.2386491,-107.6081575,Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,8,8,0
09-06-1929,"Jask, Iran",25.6577006,57.7856677,Imperial Airways,"London, England - India",de Havilland DH-66 Hercules,5,3,0
09/17/1929,"Off Larache, Morocco",35.1744271,-6.1473964,Aeropostale,,Latecoere 25-3-R,5,5,0
09/17/1929,"Jacumba, California",32.61768,-116.1874241,Pickwick Airways,Tijuana - Nogales,Fairchild 71,2,1,0
09/17/1929,"Mt Lamentation, Connecticut",41.5806542,-72.7567636,Colonial Air Transport,,Pitcairn PA-6 Mailwing,1,1,0
10/26/1929,"Off Spezia, Italy",44.1024504,9.8240826,Imperial Airways,,Short Calcutta,7,7,0
10/29/1929,"Mount Vernon, Ohio",40.3932283,-82.485436,Continental Air Lines,Cleveland - Louisville,Stearman C-38,1,1,0
10/31/1929,"Off Bremerton, Washington",47.5650067,-122.6269768,Bremerton-Seattle Air Taxi / Gorst Air Lines,Bremerton,Loening C-2C,2,2,0
11-04-1929,"Cerro del Carbon, Mexico",20.403852,-97.2878798,Corp. Aeronautica de Transportes,Mexico City - Juarez,Lockheed Vega 5,4,4,0
11-06-1929,"Near Godstone, Surrey, England",51.247571,-0.067578,Deutsche Lufthansa,Amsterdam - Croyden,Junkers G-24,8,7,0
11/15/1929,"Off Corsica, France",42.0396042,9.0128926,Air Union,,Liore et Olivier 190,3,3,0
11/30/1929,"Vancouver, Washington",45.6280277,-122.673865,Varney Air Lines,,Stearman M-2 Speedmail,1,1,0
12-02-1929,"Chagrin Falls, Ohio",41.4298516,-81.3910999,National Air Transport,,Douglas M-3,1,1,0
12/14/1929,Mediterranean Sea,34.5531284,18.0480105,Aeropostale,,Bernard 192,3,3,0
12/19/1929,"Near Berlin, Germany",52.5200066,13.404954,Deutsche Lufthansa,,Arado V1,3,2,0
12/30/1929,"Amarillo, Texas",35.2219971,-101.8312969,Trans Continental Air Transport,,Travel Air B6000,5,5,0
01-10-1930,"Brawnson, Nebraska",41.1874828,-103.1129824,Boeing Air Transport,,Boeing 95,1,1,0
01/13/1930,"Antananarivo, Madagascar",-18.8791902,47.5079055,Air Orient,,Farman 190,3,3,0
01/19/1930,"Oceanside, California",33.1958696,-117.3794834,Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,16,16,0
01/25/1930,"Off Ceuta, Spain",35.8893874,-5.3213455,Aeropostale,,Latecoere 25,2,2,0
01/27/1930,"Kansas City, Kansas",39.1155314,-94.6267873,Central  Airlines,"Wichita - Kansas City, KS",Travel Air A6000A,5,5,0
02-03-1930,"Hartford, Connecticut",41.7658043,-72.6733723,Colonial Air Transport,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,1,1,0
02-10-1930,"Marden, England",51.173613,0.490709,Air Union,,Farman F-63,2,2,0
04/18/1930,"Jersey City, New Jersey",40.7177545,-74.0431435,Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,4,4,0
05-10-1930,Buenos Aires,-34.6036844,-58.3815591,Aeropostale,,Latecoere 28,4,3,0
06-05-1930,"Boston, Massachusetts",42.3600825,-71.0588801,Colonial Air Transport,,Ford Tri-Motor 5,15,1,0
07-07-1930,"Bornholm, Denmark",55.160428,14.8668836,Deutsche Lufthansa,Stettin - Norway,Dornier Wal,8,5,0
07-10-1930,"Arkansas Pass, Texas",27.909532,-97.1505561,Cross Airways,,Lockheed Vega 5,5,5,0
08/22/1930,"Iglau, Czechoslovakia",49.3983782,15.5870415,Ceskoslovenske Aerolinie,Prague - Brun -  Pressburg,Ford 5-AT-C Tri Motor,11,10,0
09-11-1930,"Croydon, England",51.3769529,-0.0956895,Sabena,,Sabca F-VII,2,2,0
09/25/1930,"Southesk, Saskatchewan, Canada",56.6461641,-103.2517784,Western Canada Airways,Calgary - Moosejaw,,3,3,0
10-05-1930,"Near Beauvais, France",49.4295387,2.0807123,Military - British Air Ministry,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,54,48,0
10-06-1930,"Dresden, Germany",51.0504088,13.7372621,Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,8,8,0
10-12-1930,"La Rache, Morocco",35.163467,-5.8142885,Aeropostale,Casablanca - Bahat - Toulouse,Latecoere 28,4,4,0
10/28/1930,"Prince Rupert, BC, Canada",54.3150367,-130.3208187,Alaska-Washington Airways,,Lockheed Vega,3,3,0
10/30/1930,"Near Neufchatel, France",49.732771,1.441891,Imperial Airways,"Paris, France - London, England",Handley Page W-8,6,3,0
10/30/1930,"Brookston, Indiana",40.6028144,-86.8672339,Embry Riddle Company,,Pitcairn PA-6 Mailwing,1,1,0
11-07-1930,"Off of Santos, Brazil",-23.9592201,-46.3317787,Syndicato Condor,,Junkers G-24,9,1,0
11/18/1930,"Techachapi Mountains, California",34.95,-118.58,PacifiAir Transport,"Burbank, CA - Oakland, CA",Boeing 40,3,3,
12-09-1930,"Shanghai, China",31.230416,121.473701,China National Aviation Corporation,Shanghai - Hankow,Loening C-W Air Yaht,6,4,0
01-08-1931,"Melle, Belgium",51.0036374,3.8005343,Sabena,,Fokker F-VII,2,2,0
01/22/1931,"Bluff Mountain, Washington",46.4553899,-121.8989793,Varney Air Lines,Portland - Pasco,Boeing 40,1,1,0
02-08-1931,"Wairoa, New Zealand",-39.0351747,177.4181452,Dominion Air Lines,,Desoutter II,1,1,0
02/20/1931,"Bagot, Manitoba, Canada",49.968341,-98.628957,Western Canada Airways,Winnigeg - Moosejaw,Fokker Universal F-14,3,2,0
02/24/1931,Off Spain,40.463667,-3.74922,Aeropostale,,Latecoere 32,3,1,0
03/21/1931,"New South Wales, Australia",-31.2532183,146.921099,Australian National Airways,,Avro 10,8,8,0
03/31/1931,"Bazaar, Kansas",38.2719604,-96.5352854,Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,8,8,0
